ramp_PG_sa_lr1,ramp_PG_sa_lr0.1,ramp_A3C_sa_lr1,ramp_A3C_sa_lr0.1,ramp_A3C_sa_lr0.01,ramp_PPO_sa_lr5e-5,ramp_PG_ma_lr0.01,ramp_A3C_ma_lr0.01,ramp_PPO_ma_lr0.1,ramp_PPO_ma_lr5e-5,,,ramp_len100_pos300,ramp_len150_pos300,ramp_len200_pos300,ramp_len200_pos200,ramp_len200_pos250,ramp_len200_pos350,ramp_len250_pos300,ramp_turn
-22922.13621,-22883.90142,nan,nan,nan,-22947.22109,-25065.92168,nan,-25064.30991,-22663.30225,,,-25205.68527,-22872.86572,-24949.24582,-24988.56016,-25036.37968,-25005.41692,-25186.00748,-24000.1069
-22353.97242,-21742.26241,nan,nan,nan,-22926.33963,-25017.41235,nan,-28141.62153,-22875.3345,,,-25184.88404,-22878.64771,-25087.27529,-25205.47184,-25121.3481,-24877.79232,-24942.46228,-24554.2557
-23017.79024,-29825.20981,nan,nan,nan,-22820.25067,-24769.95031,nan,-24809.53159,-22938.85581,,,-24901.41681,-22775.64236,-25044.96145,-25065.73146,-25351.47111,-24907.36697,-24901.68132,-22379.3517
-24244.62936,-24155.38475,nan,nan,nan,-22846.67661,-23939.39014,nan,-25467.01506,-22892.48668,,,-24772.83424,-22591.66728,-24801.44438,-24886.26974,-24946.05785,-24836.29626,-24802.18377,-21361.24763
-23024.10332,-22651.3154,nan,nan,nan,-22919.81662,-23748.24,nan,-25074.19492,-22263.57686,,,-24617.89511,-22351.92216,-24714.33141,-24610.55662,-24434.5171,-24347.46394,-24460.15803,-21063.03595
-24961.76601,-22317.60654,nan,nan,nan,-22719.41534,-21300.11113,nan,-24894.46974,-22007.14859,,,-24167.23214,-21933.82001,-24628.20324,-24512.30834,-23938.424,-24046.50013,-23946.45086,-18018.99557
-26503.83557,-22129.82569,nan,nan,nan,-22741.74767,-17597.98734,nan,-24881.23217,-21267.599,,,-23938.62512,-21097.77645,-24062.18591,-24128.69491,-23230.34911,-23249.02374,-22979.99421,-15171.79203
-24051.53638,-25855.25747,nan,nan,nan,-22813.16736,-12038.40751,nan,-25103.13624,-20692.76087,,,-22849.89935,-19859.66159,-23551.42368,-23521.98867,-22440.16029,-22721.72096,-21918.78685,-11318.32049
-24252.90416,-24084.20593,nan,nan,nan,-22599.32128,-16528.14986,nan,-25120.35618,-20025.92823,,,-21892.21076,-18566.18105,-22946.68691,-22825.77475,-21155.96541,-21890.25767,-20744.30963,-8503.915307
-24226.17091,-24144.08738,nan,nan,nan,-22490.00178,-22011.46119,-76399.90356,-24818.38289,-17752.30717,,,-20816.03605,-15502.02202,-22165.30688,-21722.49839,-19541.32978,-20734.11561,-19523.84536,-5238.64953
-24346.03534,-24222.40356,-78856.77665,nan,-24425.01579,-22207.92328,-10721.52478,-100602.9533,-25084.41392,-15308.84266,,,-18976.36966,-13136.59599,-20783.11556,-20183.07206,-18255.87388,-19913.14381,-17633.88412,-3879.513065
-24160.06438,-23517.39828,-82186.44809,-115381.1651,-24260.2909,-22052.41331,-12469.93326,-113095.1087,-25079.52915,-11962.42798,,,-17896.29873,-11088.39991,-19067.20721,-18862.16014,-16781.16111,-17931.31128,-15929.85819,-2542.587566
-24012.40516,-25409.50282,-82665.64836,-115381.1651,-24260.2909,-21314.11127,-17262.90435,-113095.1087,-25091.0787,-9755.167397,,,-16794.47417,-9447.694143,-16489.16988,-17567.5984,-14702.62917,-16881.50055,-14311.09735,-1747.565215
-24130.21513,-25733.70648,-82665.64836,-127292.718,-24260.2909,-20813.07819,-19718.71738,-113095.1087,-25307.73356,-8209.932807,,,-14780.40834,-8301.309248,-14734.66736,-15229.28698,-13129.58306,-15406.99515,-13178.05759,-1127.071965
-24437.69225,-21167.89807,-82665.64836,-134347.1747,-24260.2909,-20335.60492,-21359.37742,-113095.1087,-25120.29986,-6737.853036,,,-12860.79103,-6736.703475,-13229.82911,-13200.30961,-11755.21524,-14539.1526,-12354.14112,-781.4602997
-24246.17354,-23478.36667,-82665.64836,-134347.1747,-24260.2909,-19735.43578,-21384.52406,-95882.31764,-25243.76929,-5668.76806,,,-12727.85946,-5173.53153,-11787.74055,-12506.32445,-10872.43112,-13007.68765,-11921.97062,-639.9877602
-24207.57889,-22148.22052,-82665.64836,-134347.1747,-24260.2909,-19160.90977,-21495.21666,-75645.93914,-25088.81693,-4972.873199,,,-12205.73502,-3769.81235,-10951.16752,-11883.74046,-9435.650149,-11917.83645,-10824.99752,-550.7121947
-24082.83527,-22843.29599,-82665.64836,-134347.1747,-24260.2909,-18375.16671,-20604.28523,-75645.93914,-25400.14562,-4532.492492,,,-11633.3138,-3398.153583,-10219.18378,-10594.14804,-8007.170109,-11018.56264,-10084.30338,-463.928374
-24230.36337,-23056.35815,-82665.64836,-134347.1747,-24260.2909,-17758.4601,-19764.05649,-69514.10307,-25517.10047,-4098.025022,,,-10541.37924,-2924.862639,-9084.764724,-9595.237959,-7079.670706,-9895.966135,-9524.103419,-418.6817622
-24139.38085,-23033.61242,-82665.64836,-134347.1747,-24260.2909,-17471.30405,-18931.67367,-69514.10307,-25220.32673,-3594.687845,,,-9810.470049,-2609.188717,-8192.890167,-9510.303768,-6363.578704,-9482.966999,-8922.397412,-388.1292153
-23673.57335,-23107.56087,-82665.64836,-134347.1747,-24260.2909,-16456.12575,-16702.68335,-69514.10307,-25285.75378,-2894.862551,,,-9369.159686,-2173.353103,-7649.380113,-8124.940478,-6743.729597,-8384.285286,-8687.853612,-352.1225253
-24362.5779,-23089.43778,-63102.84196,-134347.1747,-24244.02981,-16162.26424,-13286.9605,-69514.10307,-24616.72074,-2476.771908,,,-8429.477238,-2187.835196,-7267.793271,-7600.764022,-6458.565754,-7660.998717,-8196.093238,-331.5436649
-24311.59903,-23335.65988,-53071.28721,-97247.2875,-23939.32721,-15426.28119,-10689.51157,-69514.10307,-25507.54815,-2030.686498,,,-7440.027703,-1998.762251,-6564.111588,-6541.475377,-6451.778184,-7867.609118,-7770.778438,-312.1946134
